Auction ID,APN,Legal Description,Property Address ,City,Zip Code,Minimum Bid,Auction Ends Apr 26th (ET)
995061,030-192-26,T19S R53E S9 U.1 B.54 L.26 .220AC CALVADA VALLEY NORTH                                            ,6670 N NOOK PL ,PAHRUMP,89060, $ 848.00 ,  12:50 PM
995062,030-192-31,T19S R53E S9 U.1 B.54 L.31 .202AC CALVADA VALLEY NORTH                                            ,6691 N NOOK PL ,PAHRUMP,89060, $ 848.00 ,  12:50 PM
995063,030-202-04,T19S R53E S9 U.2 B.68 L.56 .176AC CALVADA VALLEY   NORTH      (.176 ACRES)                               ,240 W LOMPOC ST ,PAHRUMP,," $ 2,200.00 ",  1:00 PM
995064,030-202-05,T19S R53E S9 U.2 B.68 L.55 .202AC CALVADA VALLEY     NORTH      (.202 ACRES)                               ,230 W LOMPOC ST ,PAHRUMP,," $ 2,446.00 ",  1:00 PM
995065,030-203-11,T19S R53E S9 U.2 B.67 L.48 .202AC CALVADA VALLEY  NORTH                                             ,340 W PLACITA PL ,PAHRUMP,89060, $ 754.00 ,  1:00 PM
995066,030-203-16,T19S R53E S9 U.2 B.67 L.43 .177AC CALVADA VALLEY     NORTH     (.177 ACRES)                               ,240 W PLACITA PL ,PAHRUMP,," $ 1,972.00 ",  1:00 PM
995067,030-211-16,T19S R53E S9 U.2 B.67 L.33 .202AC CALVADA VALLEY    NORTH       (.198 ACRES)                               ,6510 N SAHARA LN ,PAHRUMP,," $ 2,200.00 ",  1:00 PM
995068,030-211-24,T19S R53E S9 U.2 B.67 L.25 .198AC CALVADA VALLEY     NORTH      (.202 ACRES)                               ,6531 N MELWOOD LN ,PAHRUMP,," $ 2,200.00 ",  1:00 PM
995069,030-211-29,T19S R53E S9 U.2 B.67 L.38 .202AC CALVADA VALLEY NORTH             (.202 ACRES)                               ,6581 N MELWOOD LN ,PAHRUMP,," $ 2,446.00 ",  1:00 PM
995070,030-212-14,T19S R53E S9 U.2 B.66 L.7.266AC CALVADA VALLEY   NORTH   (.266 ACRES)                                         ,6590 N MELWOOD LN  ,PAHRUMP,," $ 2,678.00 ",  1:00 PM
995071,030-222-01,T19S R53E S9 U.2 B.77 L.43 .202AC CALVADA VALLEY NORTH             (.202 ACRES)                               ,6760 N CATAMARCA AVE ,PAHRUMP,," $ 3,199.00 ",  1:00 PM
995072,030-231-20,T19S R53E S9&10 U.2 B.65 L.20 .152AC   CALVADA VALLEY NORTH     (.152 ACRES),6340 N MELWOOD LN ,PAHRUMP,," $ 2,608.00 ",  1:00 PM
995073,030-231-25,T19S R53E S9&10 U.2 B.65 L.25 .145AC CALVADA   VALLEY NORTH      (.145 ACRES)                          ,6390 N MELWOOD LN ,PAHRUMP,," $ 2,664.00 ",  1:00 PM
995074,030-231-27,T19S R53E S9&10 U.2 B.65 L.27 .193AC    CALVADA VALLEY NORTH     (.193 ACRES),6410 N MELWOOD LN   ,PAHRUMP,," $ 2,600.00 ",  1:00 PM
995075,030-231-29,T19S R53E S9&10 U.2 B.65 L.29 .227AC    CALVADA VALLEY NORTH     (.227 ACRES),6430 N MELWOOD LN   ,PAHRUMP,," $ 2,664.00 ",  1:00 PM
995076,030-241-02,T19S R53E S9&10 U.2 B.83 L.98 .116AC CALVADA  VALLEY NORTH      (.116 ACRES)                ,6545 N PATHWAY DR ,PAHRUMP,," $ 2,561.00 ",  1:00 PM
995077,030-241-13,T19S R53E S9&10 U.2 B.83 L.82 .156AC     CALVADA VALLEY NORTH     (.156 ACRES),6490 N NOFRAL PL    ,PAHRUMP,," $ 2,373.00 ",  1:00 PM
995078,030-241-14,T19S R53E S9&10 U.2 B.83 L.83 .167AC     CALVADA VALLEY NORTH     (.167 ACRES),6480 N NOFRAL PL    ,PAHRUMP,," $ 2,373.00 ",  1:00 PM
995079,030-241-23,T19S R53E S9&10 U.2 B.83 L.77 .124AC     CALVADA VALLEY NORTH     (.124 ACRES),6481 N NOFRAL PL    ,PAHRUMP,," $ 2,154.00 ",  1:00 PM
995080,030-241-30,T19S R53E S9&10 U.2 B.83 L.70 .151AC     CALVADA VALLEY NORTH     (.151 ACRES),6400 N JAMESTOWN PL   ,PAHRUMP,," $ 1,887.00 ",  1:00 PM
995081,030-251-23,T19S R53E S9&10 U.2 B.84 L.18 .116AC CALVADAVALLEY NORTH      (.116 ACRES)            ,6390 N LONG BOW CIR E ,PAHRUMP,," $ 2,345.00 ",  1:00 PM
995082,030-261-06,T19S R53E S10 U.2 B.80 L.9 .124AC CALVADA  VALLEY NORTH       (.124 ACRES)  ,6681 N CARIZZO LN ,PAHRUMP,," $ 2,345.00 ",  1:00 PM
995083,030-261-23,T19S R53E S10 U.2 B.80 L.48 .183AC CALVADA VALLEY NORTH                                             ,6660 N MISIONES LN ,PAHRUMP,89060, $ 848.00 ,  1:00 PM
995084,030-262-10,T19S R53E S10 U.2 B.81 L.11 .124AC CALVADA VALLEY  NORTH     (.124 ACRES)  ,6601 N MISIONES LN ,PAHRUMP,," $ 3,538.00 ",  1:00 PM
995085,030-262-14,T19S R53E S10 U.2 B.81 L.7 .124AC CALVADA VALLEY NORTH                                            ,6641 N MISIONES LN ,PAHRUMP,89060, $ 854.00 ,  1:00 PM
995086,030-262-18,T19S R53E S10 U.2 B.81 L.3 .124AC CALVADA VALLEY NORTH                (.124 ACRES)  ,91 E MISIONES LN ,PAHRUMP,," $ 1,447.00 ",  1:00 PM
995087,030-264-04,T19S R53E S10 U.2 B.79 L.4  .185AC CALVADA VALLEY   NORTH             (.185 ACRES)                                ,6590 N NOFRAL PL ,PAHRUMP,," $ 2,128.00 ",  1:10 PM
995088,030-264-08,T19S R53E S10 U.2 B.79 L.8 .165AC CALVADA VALLEY    NORTH             (.165 ACRES)                                ,6631 N BLAGG RD ,PAHRUMP,," $ 1,818.00 ",  1:10 PM
995089,030-271-07,T19S R53E S10 U.2 B.79 L.41.124AC CALVADA VALLEY NORTH                                            ,6550 N CARIZZO LN ,PAHRUMP,89060, $ 865.00 ,  1:10 PM
995090,030-271-09,T19S R53E S10 U.2 B.79 L.39 .124AC CALVADA VALLEY    NORTH             (.124 ACRES)                                ,6570 N CARIZZO LN ,PAHRUMP,," $ 2,154.00 ",  1:10 PM
995091,030-271-15,T19S R53E S10 U.2 B.80 L.36 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)                                ,6630 N CARIZZO LN ,PAHRUMP,," $ 2,154.00 ",  1:10 PM
995092,030-272-22,T19S R53E S10 U.2 B.79 L.33 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)                                ,6530 N MISIONES LN ,PAHRUMP,," $ 2,128.00 ",  1:10 PM
995093,030-272-27,T19S R53E S10 U.2 B.80 L.41 .124AC CALVADA VALLEY   NORTH       (.124 ACRES)                                ,6580 N MISIONES LN ,PAHRUMP,," $ 1,812.00 ",  1:10 PM
995094,030-272-28,T19S R53E S10 U.2 B.80 L.42 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)                                ,6590 N MISIONES LN ,PAHRUMP,," $ 1,588.00 ",  1:10 PM
995095,030-291-22,T19S R53E S10 U.2 B.79 L.75 .165AC CALVADA VALLEY  NORTH             (.165 ACRES)       ,6361 N QUEBRADA AVE ,PAHRUMP,," $ 2,128.00 ",  1:10 PM
995096,030-292-07,T19S R53E S10 U.2 B.92 L.26 .145AC CALVADA VALLEY NORTH                                             ,6440 N QUEBRADA AVE ,PAHRUMP,89060, $ 860.00 ,  1:10 PM
995097,030-292-11,T19S R53E S10 U.2 B.92 L.22 .145AC CALVADA VALLEY NORTH                                             ,6451 N JUNGLE AVE ,PAHRUMP,89060, $ 854.00 ,  1:10 PM
995098,030-292-15,T19S R53E S10 U.2 B.92 L.15 .124AC CALVADA VALLEY NORTH             (.124 ACRES)                             ,6411 N JUNGLE AVE ,PAHRUMP,," $ 1,909.00 ",  1:10 PM
995099,030-292-18,T19S R53E S10 U.2 B.88 L.11 .124AC CALVADA VALLEY   NORTH      (.124 ACRES)                             ,6381 N JUNGLE AVE ,PAHRUMP,," $ 2,781.00 ",  1:10 PM
995100,030-293-09,T19S R53E S10 U.2 B.91 L.21 .134AC CALVADA VALLEY NORTH        (.134 ACRES)                                   ,6460 N JUNGLE AVE ,PAHRUMP,," $ 2,100.00 ",  1:10 PM
995101,030-293-12,T19S R53E S10 U.2 B.91 L.18 .124AC CALVADA VALLEY  NORTH       (.124 ACRES)                                      ,6441 N REFUGIO AVE ,PAHRUMP,," $ 2,063.00 ",  1:10 PM
995102,030-293-15,T19S R53E S10 U.2 B.91 L.15 .124AC CALVADA VALLEY NORTH    (.124 ACRES)                                         ,6411 N REFUGIO AVE ,PAHRUMP,," $ 2,591.00 ",  1:10 PM
995103,030-293-18,T19S R53E S10 U.2 B.91 L.12 .124AC CALVADA VALLEY  NORTH    (.124 ACRES)                                         ,6371 N REFUGIO AVE ,PAHRUMP,," $ 2,161.00 ",  1:10 PM
995104,030-301-09,T19S R53E S10 U.2 B.79 L.77 .124AC CALVADA VALLEY  NORTH       (.124 ACRES)                                      ,6341 N QUEBRADA AVE ,PAHRUMP,," $ 2,806.00 ",  1:10 PM
995105,030-302-01,T19S R53E S10 U.2 B.92 L.33 .124AC CALVADA VALLEY  NORTH    (.124 ACRES)         ,6350 N QUEBRADA AVE ,PAHRUMP,," $ 2,288.00 ",  1:10 PM
995106,030-302-08,T19S R53E S10 U.2 B.92 L.40 .124AC CALVADA VALLEY NORTH    (.124 ACRES)  ,6270 N QUEBRADA AVE ,PAHRUMP,," $ 2,373.00 ",  1:10 PM
995107,030-302-13,T19S R53E S10 U.2 B.92 L.45 .145AC CALVADA VALLEY NORTH   (.145 ACRES)                                          ,6210 N QUEBRADA AVE ,PAHRUMP,," $ 2,149.00 ",  1:10 PM
995108,030-302-21,T19S R53E S10 U.2 B.92 L.6 .124AC CALVADA VALLEY   NORTH             (.124 ACRES)                             ,6291 N JUNGLE AVE ,PAHRUMP,," $ 2,073.00 ",  1:10 PM
995109,030-302-27,T19S R53E S10 U.2 B.92 L.12 .124AC CALVADA VALLEY NORTH             (.124 ACRES)                             ,6351 N JUNGLE AVE ,PAHRUMP,," $ 2,781.00 ",  1:10 PM
995110,030-302-29,T19S R53E S10 U.2 B.91 L.11 .124AC CALVADA VALLEY NORTH             (.124 ACRES)                             ,6371 N JUNGLE AVE ,PAHRUMP,," $ 1,823.00 ",  1:10 PM
995111,030-303-01,T19S R53E S10 U.2 B.91 L.30 .124AC CALVADA VALLEY  NORTH      (.124 ACRES)                                       ,6370 N JUNGLE AVE ,PAHRUMP,," $ 2,149.00 ",  1:20 PM
995112,030-303-02,T19S R53E S10 U.2 B.91 L.31 .124AC CALVADA VALLEY  NORTH     (.124 ACRES)                                        ,6360 N JUNGLE AVE ,PAHRUMP,," $ 2,149.00 ",  1:20 PM
995113,030-303-18,T19S R53E S10 U.2 B.91 L.6 .124AC CALVADA VALLEY NORTH   (.124 ACRES)                                        ,6311 N REFUGIO AVE  ,,," $ 1,525.00 ",  1:20 PM
995114,030-303-20,T19S R53E S10 U.2 B.91 L.8 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)   ,6331 N REFUGIO AVE ,PAHRUMP,," $ 1,593.00 ",  1:20 PM
995115,030-303-23,T19S R53E S10 U.2 B.91 L.11 .124AC CALVADA VALLEY NORTH             (.124 ACRES)                             ,6361 N REFUGIO AVE ,PAHRUMP,," $ 1,598.00 ",  1:20 PM
995116,030-304-06,T19S R53E S10 U.2 B.88 L.21 .124AC CALVADA VALLEY NORTH             (.124 ACRES)                             ,6300 N REFUGIO AVE ,PAHRUMP,," $ 1,904.00 ",  1:20 PM
995117,030-311-07,T19S R53E S10 U.2 B.93 L.31 .124AC CALVADA VALLEY   NORTH      (.359 ACRES)   ,6130 N REMOS LN  ,PAHRUMP,," $ 2,345.00 ",  1:20 PM
995118,030-311-17,T19S R53E S10 U.2 B.93 L.41 .359AC CALVADA VALLEY  NORTH             (.124 ACRES)   ,400 E QUINCE LN ,PAHRUMP,," $ 1,629.00 ",  1:20 PM
995119,030-311-27,T19S R53E S10 U.2 B.93 L.51 .160AC CALVADA VALLEY   NORTH     (.160 ACRES)   ,6080 N MARSH PL   ,PAHRUMP,," $ 1,904.00 ",  1:20 PM
995120,030-311-37,T19S R53E S10 U.2 B.93 L.5 .124AC CALVADA VALLEY NORTH     (.124 ACRES)                               ,6071 N QUEBRADA AVE ,PAHRUMP,," $ 1,492.00 ",  1:20 PM
995121,030-311-38,T19S R53E S10 U.2 B.93 L.6 .124AC CALVADA VALLEY    NORTH             (.124 ACRES)   ,6081 N QUEBRADA AVE ,PAHRUMP,," $ 2,149.00 ",  1:20 PM
995122,030-312-09,T19S R53E S10 U.2 B.79 L.94 .165AC CALVADA VALLEY NORTH             (.165 ACRES)   ,6151 N REMOS LN ,PAHRUMP,," $ 1,904.00 ",  1:20 PM
995123,030-312-12,T19S R53E S10 U.2 B.79 L.97 .165AC CALVADA VALLEY  NORTH             (.165 ACRES)   ,6121 N REMOS LN ,PAHRUMP,," $ 1,861.00 ",  1:20 PM
995124,030-312-15,T19S R53E S10 U.2 B.79 L.100 .165AC CALVADA VALLEY NORTH                                             ,6081 N REMOS LN ,PAHRUMP,89060, $ 865.00 ,  1:20 PM
995125,030-322-05,T19S R53E S10 U.2 B.90 L.25 .124AC CALVADA VALLEY NORTH                                             ,6060 N QUEBRADA AVE ,PAHRUMP,89060, $ 854.00 ,  1:20 PM
995126,030-322-07,T19S R53E S10 U.2 B.90 L.23 .124AC CALVADA VALLEY NORTH   (.124 ACRES)                                    ,6080 N QUEBRADA AVE ,PAHRUMP,," $ 1,515.00 ",  1:20 PM
995127,030-322-08,T19S R53E S10 U.2 B.90 L.22 .124AC CALVADA VALLEY   NORTH         (.124 ACRES)   ,6090 N QUEBRADA AVE ,PAHRUMP,," $ 1,938.00 ",  1:20 PM
995128,030-322-10,T19S R53E S10 U.2 B.90 L.20 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)   ,6110 N QUEBRADA AVE ,PAHRUMP,," $ 2,149.00 ",  1:20 PM
995129,030-322-20,T19S R53E S10 U.2 B.90 L.10 .124AC CALVADA VALLEY   NORTH         (.124 ACRES)   ,6131 N JUNGLE AVE ,PAHRUMP,," $ 1,593.00 ",  1:20 PM
995130,030-323-03,T19S R53E S10 U.2 B.89 L.36 .124AC CALVADA VALLEY NORTH             (.124 ACRES)   ,6040 N JUNGLE AVE ,PAHRUMP,," $ 2,561.00 ",  1:20 PM
995131,030-323-11,T19S R53E S10 U.2 B.89 L.28 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)   ,6120 N JUNGLE AVE ,PAHRUMP,," $ 1,444.00 ",  1:20 PM
995132,030-323-12,T19S R53E S10 U.2 B.89 L.27 .124AC CALVADA VALLEY NORTH             (.124 ACRES)   ,6130 N JUNGLE AVE ,PAHRUMP,," $ 1,904.00 ",  1:20 PM
995133,030-323-13,T19S R53E S10 U.2 B.89 L.26 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)   ,6140 N JUNGLE AVE ,PAHRUMP,," $ 1,904.00 ",  1:20 PM
995134,030-323-16,T19S R53E S10 U.2 B.89 L.23 .124 CALVADA VALLEY  NORTH             (.124 ACRES)   ,6170 N JUNGLE AVE ,PAHRUMP,," $ 1,556.00 ",  1:20 PM
995135,030-323-17,T19S R53E S10 U.2 B.89 L.22 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)   ,6180 N JUNGLE AVE ,PAHRUMP,," $ 2,781.00 ",  1:30 PM
995136,030-323-22,T19S R53E S10 U.2 B.89 L.17 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)   ,6201 N REFUGIO AVE ,PAHRUMP,," $ 1,904.00 ",  1:30 PM
995137,030-323-28,T19S R53E S10 U.2 B.89 L.11 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)   ,6141 N REFUGIO AVE ,PAHRUMP,," $ 1,924.00 ",  1:30 PM
995138,030-332-07,T19S R53E S10 U.2 B.88 L.126.124AC CALVADA VALLEY  NORTH   (.124 ACRES)                                          ,6321 N JUTLAND CIR N ,PAHRUMP,," $ 2,799.00 ",  1:30 PM
995139,030-332-10,T19S R53E S10 U.2 B.88 L.123 .124AC CALVADA VALLEY NORTH     (.124 ACRES)                                        ,6291 N JUTLAND CIR N ,PAHRUMP,," $ 2,373.00 ",  1:30 PM
995140,030-332-19,T19S R53E S10 U.2 B.88 L.115 .145AC CALVADA VALLEY  NORTH      (.145 ACRES)                                        ,6210 N JUTLAND CIR S ,PAHRUMP,," $ 1,496.00 ",  1:30 PM
995141,030-332-30,T19S R53E S10 U.2 B.88 L.104 .124AC CALVADA VALLEY NORTH                                              ,6320 N JUTLAND CIR S ,PAHRUMP,89060, $ 866.00 ,  1:30 PM
995142,030-333-01,T19S R53E S10 U.2 B.88 L.34 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)   ,6130 N REFUGIO AVE ,PAHRUMP,," $ 1,904.00 ",  1:30 PM
995143,030-333-12,T19S R53E S10 U.2 B.88 L.23 .186AC CALVADA VALLEY NORTH                                             ,6250 N REFUGIO AVE ,PAHRUMP,89060, $ 666.00 ,  1:30 PM
995144,030-341-10,T19S R53E S10 U.2 B.85 L.17 .145AC CALVADA VALLEY NORTH                                             ,6210 E JUNE ST ,PAHRUMP,89060, $ 848.00 ,  1:30 PM
995145,030-342-35,T19S R53E S10 U.2 B.86 L.35 .131AC CALVADA VALLEY   NORTH       (.131 ACRES)   ,260 N MILLER PL ,PAHRUMP,," $ 1,598.00 ",  1:30 PM
995146,030-343-07,T19S R53E S10 U.2 B.88 L.79 .261AC CALVADA VALLEY NORTH                                             ,6091 N RED PLANET LN ,PAHRUMP,89060, $ 854.00 ,  1:30 PM
995147,030-343-29,T19S R53E S10 U.2 B.88 L.57 .124AC CALVADA VALLEY  NORTH             (.124 ACRES)   ,6161 N ESMERALDA ST ,PAHRUMP,," $ 2,345.00 ",  1:30 PM
995148,030-343-44,T19S R53E S10 U.2 B.88 L.42 .135AC CALVADA VALLEY NORTH        (.135 ACRES)   ,6050 N REFUGIO AVE ,PAHRUMP,," $ 2,345.00 ",  1:30 PM
995149,030-343-48,T19S R53E S10 U.2 B.88 L.38 .124AC CALVADA VALLEY NORTH                                             ,6090 N REFUGIO AVE ,PAHRUMP,89060, $ 681.00 ,  1:30 PM
995150,030-343-49,T19S R53E S10 U.2 B.88 L.37 .124AC CALVADA VALLEY NORTH                                             ,6100 N REFUGIO AVE ,PAHRUMP,89060, $ 854.00 ,  1:30 PM
995151,030-361-14,T19S R53E S9&10 U.1 B.64 L.19 .327AC CALVADA VALLEY NORTH                                 ,6110 N LEVY PL ,PAHRUMP,89060, $ 873.00 ,  1:30 PM
995152,030-391-14+,T19S R53E S9 U.1 B.57 L.14 .069AC CALVADA VALLEY NORTH                                           ,300 W LESLIE ST #014 ,PAHRUMP,89060," $ 1,034.00 ",  1:30 PM
995153,030-391-15,T19S R53E S9 U.1 B.57 L.15 .069AC CALVADA VALLEY  NORTH     (.069 ACRES)   ,300 W LESLIE ST #015 ,PAHRUMP,," $ 2,029.00 ",  1:30 PM
995154,030-391-33,T19S R53E S9 U.1 B.57 L.33 .057AC CALVADA VALLEY  NORTH     (.057 ACRES)   ,300 W LESLIE ST #033 ,PAHRUMP,," $ 2,042.00 ",  1:30 PM
995155,030-391-34,T19S R53E S9 U.1 B.57 L.34 .057AC CALVADA VALLEY  NORTH     (.057 ACRES)   ,300 W LESLIE ST #034 ,PAHRUMP,," $ 2,014.00 ",  1:30 PM
995156,030-401-17+,T19S R53E S9 U.1 B.57 L.69 .258AC CALVADA VALLEY NORTH                                            ,300 W LESLIE ST #069  ,PAHRUMP,89060," $ 1,021.00 ",  1:30 PM
995157,030-401-24,T19S R53E S9 U.1 B.57 L.76 .101AC CALVADA VALLEY  NORTH      (.101 ACRES)                                       ,300 W LESLIE ST #076  ,PAHRUMP,," $ 2,315.00 ",  1:30 PM
995158,030-421-23,T19S R53E S9 U.1 B.60 L.15 .400AC CALVADA VALLEY   NORTH   (.400 ACRES)   ,6061 N COOL PL  ,PAHRUMP,," $ 2,912.00 ",  1:30 PM
995159,030-452-15,T19S R53E S9 U.1 B.58 L.15 .202AC CALVADA VALLEY  NORTH                                             ,570 W FLASHMAN LN ,PAHRUMP,89060, $ 860.00 ,  1:40 PM
995160,030-473-11,T19S R53E S9 U.1 B.38 L.38 .230AC CALVADA VALLEY  NORTH                                             ,860 W GLACIER LN ,PAHRUMP,89060, $ 866.00 ,  1:40 PM
995161,030-481-06,T19S R53E S9 U.1 B.43 L.6 .202AC CALVADA VALLEY NORTH                                           ,841 W NIKKI WAY ,PAHRUMP,89060, $ 848.00 ,  1:40 PM
995162,030-491-10,T19S R53E S9 U.1 B.41 L.13 .202AC CALVADA VALLEY NORTH                                            ,6190 N IMPERIAL PL ,PAHRUMP,89060, $ 868.00 ,  1:40 PM
995163,030-501-02,T19S R53E S9 U.1 B.38 L.36 .202AC CALVADA VALLEY NORTH     (.202 ACRES)   ,5931 N HEWITT AVE ,PAHRUMP,," $ 2,200.00 ",  1:40 PM
995164,030-501-07,T19S R53E S16 U.1 B.37 L.63 .202AC CALVADA VALLEY  NORTH  (.202 ACRES)   ,5841 N HEWITT AVE ,PAHRUMP,," $ 1,847.00 ",  1:40 PM
995165,030-501-33,T19S R53E S16 U.1 B.37 L.38 .244AC CALVADA VALLEY NORTH   (.244 ACRES)                                           ,940 W IMPERIAL PL ,PAHRUMP,," $ 2,853.00 ",  1:40 PM
995166,030-521-04,T19S R53E S16 U.1 B.37 L.179 .202AC CALVADA VALLEY NORTH       (.202 ACRES)                                      ,5840 N GLENCOVE AVE ,PAHRUMP,," $ 2,681.00 ",  1:40 PM
995167,030-521-07,T19S R53E S16 U.1 B.37 L.176 .202AC CALVADA VALLEY NORTH        (.202 ACRES)                         ,5900 N GLENCOVE AVE ,PAHRUMP,," $ 2,446.00 ",  1:40 PM
995168,030-521-26,T19S R53E S16 U.1 B.37 L.157 .202AC CALVADA VALLEY NORTH     (.202 ACRES)                                     ,5840 N FOOTBALL PL ,PAHRUMP,," $ 1,695.00 ",  1:40 PM
995169,030-521-33,T19S R53E S16 U.1 B.37 L.150 .212AC CALVADA VALLEY  NORTH    (.212 ACRES)                                     ,5950 N FOOTBALL PL ,PAHRUMP,," $ 2,182.00 ",  1:40 PM
995170,030-521-35,T19S R53E S16 U.1 B.37 L.148 .219AC CALVADA VALLEY NORTH   (.219 ACRES)                                      ,5931 N DEEP WELL PL  ,PAHRUMP,," $ 2,198.00 ",  1:40 PM
995171,030-532-03,T19S R53E S16 U.1 B.37 L.205 .193AC CALVADA VALLEY NORTH   (.193 ACRES)   ,5810 N GOLETA AVE ,PAHRUMP,," $ 1,593.00 ",  1:40 PM
995172,030-541-07,T19S R53E S16 U.1 B.37 L.255 .223AC CALVADA VALLEY NORTH   (.223 ACRES)   ,5730 N DEEP WELL PL ,PAHRUMP,," $ 1,593.00 ",  1:40 PM
995173,030-541-08,T19S R53E S16 U.1 B.37 L.254 .221AC CALVADA VALLEY NORTH   (.221 ACRES)   ,5750 N DEEP WELL PL ,PAHRUMP,," $ 1,989.00 ",  1:40 PM
995174,030-542-09,T19S R53E S16 U.1 B.63 L.42 .202AC CALVADA VALLEY NORTH                                             ,5631 N GOLETA AVE ,PAHRUMP,89060, $ 848.00 ,  1:40 PM
995175,030-551-47,T19S R53E S16 U.1 B.37 L.348 .260AC CALVADA VALLEY NORTH   (.260 ACRES)   ,5691 N ELLENWOOD PL ,PAHRUMP,," $ 1,630.00 ",  1:40 PM
995176,030-561-17,T19S R53E S16 U.1 B.37 L.288 .213AC CALVADA VALLEY NORTH   (.213 ACRES)   ,5730 N IMPERIAL PL ,PAHRUMP,," $ 2,200.00 ",  1:40 PM
995177,030-582-02,T19S R53E S16 U.1 B.35 L.2 .240AC CALVADA VALLEY  NORTH      (.240 ACRES)   ,751 W PEARWOOD LN ,PAHRUMP,," $ 2,170.00 ",  1:40 PM
995178,030-582-08,T19S R53E S16 U.1 B.35 L.8 .202AC CALVADA VALLEY NORTH       (.202 ACRES)   ,671 W PEARWOOD LN ,PAHRUMP,," $ 2,093.00 ",  1:40 PM
995179,030-582-13,T19S R53E S16 U.1 B.63 L.34 .262AC CALVADA VALLEY NORTH     (.262 ACRES)   ,601 W PEARWOOD LN ,PAHRUMP,," $ 1,593.00 ",  1:40 PM
995180,030-582-29,T19S R53E S16 U.1 B.35 L.29 .202AC CALVADA VALLEY  NORTH    (.202 ACRES)                                         ,620 W KILTY ST ,PAHRUMP,," $ 2,446.00 ",  1:40 PM
995181,030-582-30,T19S R53E S16 U.1 B.35 L.30  .202AC CALVADA VALLEY NORTH    (.202 ACRES)                                           ,640 W KILTY ST ,PAHRUMP,," $ 1,700.00 ",  1:40 PM
995182,030-591-08,T19S R53E S16 U.1 B.35 L.13 .202AC CALVADA VALLEY NORTH     (.202 ACRES)   ,521 W KILTY ST ,PAHRUMP,," $ 2,200.00 ",  1:40 PM
995183,031-013-04,T19S R53E S8 U.3 B.19 L.5 .230AC CALVADA VALLEY NORTH         (.230 ACRES)   ,1641 W ALDEA ST ,PAHRUMP,," $ 2,446.00 ",  1:50 PM
995184,031-013-24,T19S R53E S8 U.3 B.19 L.25 .270AC CALVADA VALLEY  NORTH       (.270 ACRES)   ,1700 W AURA AVE ,PAHRUMP,," $ 1,583.00 ",  1:50 PM
995185,031-013-27,T19S R53E S8 U.3 B.19 L.28 .270AC CALVADA VALLEY NORTH        (.270 ACRES)   ,1701 W AIDA PL ,PAHRUMP,," $ 2,033.00 ",  1:50 PM
995186,031-013-32,T19S R53E S8 U.3 B.19 L.33 .270AC CALVADA VALLEY NORTH                                             ,1601 W AIDA PL ,PAHRUMP,89060, $ 848.00 ,  1:50 PM
995187,031-013-42,T19S R53E S8 U.3 B.19 L.43 .230AC CALVADA VALLEY NORTH       (.230 ACRES)   ,1640 W AIDA PL ,PAHRUMP,," $ 3,471.00 ",  1:50 PM
995188,031-033-21,T19S R53E S8 U.3 B.16 L.43 .260AC CALVADA VALLEY  NORTH      (.260 ACRES)   ,6410 N LABRUNA LN ,PAHRUMP,," $ 1,593.00 ",  1:50 PM
995189,031-042-07,T19S R53E S8 U.3 B.15 L.20 .322AC CALVADA VALLEY NORTH       (.322 ACRES)   ,6380 N BEEMAN AVE ,PAHRUMP,," $ 1,593.00 ",  1:50 PM
995190,031-043-24,T19S R53E S8 U.3 B.14 L.18 .250AC CALVADA VALLEY NORTH       (.250 ACRES)   ,6371 N BEEMAN AVE ,PAHRUMP,," $ 1,444.00 ",  1:50 PM
995191,031-051-23,T19S R53E S8 U.3 B.12 L.105 .230AC CALVADA VALLEY  NORTH    (.230 ACRES)   ,6411 N REUTE PL ,PAHRUMP,," $ 1,967.00 ",  1:50 PM
995192,031-051-29,T19S R53E S8 U.3 B.12 L.111 .230AC CALVADA VALLEY NORTH                                            ,6440 N MANN PL ,PAHRUMP,89060, $ 848.00 ,  1:50 PM
995193,031-051-42,T19S R53E S8 U.3 B.12 L.124 .230AC CALVADA VALLEY  NORTH    (.230 ACRES)                                         ,6421 N MANN PL  ,PAHRUMP,," $ 2,198.00 ",  1:50 PM
995194,031-051-45,T19S R53E S8 U.3 B.12 L.127 .271AC CALVADA VALLEY  NORTH    (.271 ACRES)                                         ,6451 N MANN PL ,PAHRUMP,," $ 2,227.00 ",  1:50 PM
995195,031-051-84,T19S R53E S8 U.3 B.12 L.129 .230AC CALVADA VALLEY NORTH                                             ,6440 N AMADEO PL ,PAHRUMP,89060, $ 866.00 ,  1:50 PM
